period_label,year,month,sector,enquiries_millions
Mar'08,2008,3,All other entities,10.92
Mar'08,2008,3,Banks and other financial institutions,58.11
Mar'08,2008,3,Debt collection agencies,4.76
Mar'08,2008,3,Retailers,24.51
Mar'08,2008,3,Telecommunication providers,6.43
Jun'08,2008,6,All other entities,13.18
Jun'08,2008,6,Banks and other financial institutions,44.6
Jun'08,2008,6,Debt collection agencies,5.68
Jun'08,2008,6,Retailers,28.38
Jun'08,2008,6,Telecommunication providers,10.71
Sep'08,2008,9,All other entities,13.6
Sep'08,2008,9,Banks and other financial institutions,42.86
Sep'08,2008,9,Debt collection agencies,5.67
Sep'08,2008,9,Retailers,40.98
Sep'08,2008,9,Telecommunication providers,10.56
Dec'08,2008,12,All other entities,12.99
Dec'08,2008,12,Banks and other financial institutions,40.82
Dec'08,2008,12,Debt collection agencies,5.59
Dec'08,2008,12,Retailers,29.83
Dec'08,2008,12,Telecommunication providers,12.3
Mar'09,2009,3,All other entities,15.74
Mar'09,2009,3,Banks and other financial institutions,41.86
Mar'09,2009,3,Debt collection agencies,4.77
Mar'09,2009,3,Retailers,22.39
Mar'09,2009,3,Telecommunication providers,14.13
Jun'09,2009,6,All other entities,11.76
Jun'09,2009,6,Banks and other financial institutions,48.34
Jun'09,2009,6,Debt collection agencies,15.93
Jun'09,2009,6,Retailers,17.21
Jun'09,2009,6,Telecommunication providers,28.75
Sep'09,2009,9,All other entities,16.84
Sep'09,2009,9,Banks and other financial institutions,49.4
Sep'09,2009,9,Debt collection agencies,17.87
Sep'09,2009,9,Retailers,21.46
Sep'09,2009,9,Telecommunication providers,40.73
Dec'09,2009,12,All other entities,13.79
Dec'09,2009,12,Banks and other financial institutions,45.23
Dec'09,2009,12,Debt collection agencies,11.33
Dec'09,2009,12,Retailers,52.73
Dec'09,2009,12,Telecommunication providers,23.79
Mar'10,2010,3,All other entities,14.81
Mar'10,2010,3,Banks and other financial institutions,53.04
Mar'10,2010,3,Debt collection agencies,12.57
Mar'10,2010,3,Retailers,18.67
Mar'10,2010,3,Telecommunication providers,25.75
Jun'10,2010,6,All other entities,12.16
Jun'10,2010,6,Banks and other financial institutions,52.37
Jun'10,2010,6,Debt collection agencies,16.97
Jun'10,2010,6,Retailers,22.37
Jun'10,2010,6,Telecommunication providers,31.48
Sep'10,2010,9,All other entities,16.0
Sep'10,2010,9,Banks and other financial institutions,76.34
Sep'10,2010,9,Debt collection agencies,12.26
Sep'10,2010,9,Retailers,57.89
Sep'10,2010,9,Telecommunication providers,27.36
Dec'10,2010,12,All other entities,16.17
Dec'10,2010,12,Banks and other financial institutions,95.69
Dec'10,2010,12,Debt collection agencies,12.36
Dec'10,2010,12,Retailers,26.25
Dec'10,2010,12,Telecommunication providers,26.18
Mar'11,2011,3,All other entities,16.96
Mar'11,2011,3,Banks and other financial institutions,130.22
Mar'11,2011,3,Debt collection agencies,6.81
Mar'11,2011,3,Retailers,19.23
Mar'11,2011,3,Telecommunication providers,26.04
Jun'11,2011,6,All other entities,15.07
Jun'11,2011,6,Banks and other financial institutions,169.64
Jun'11,2011,6,Debt collection agencies,7.06
Jun'11,2011,6,Retailers,19.65
Jun'11,2011,6,Telecommunication providers,38.28
Sep'11,2011,9,All other entities,18.17
Sep'11,2011,9,Banks and other financial institutions,192.51
Sep'11,2011,9,Debt collection agencies,10.21
Sep'11,2011,9,Retailers,13.42
