period_label,year,month,good_standing,impaired,credit_active
Jun'07,2007,6,10.67,6.11,16.78
Sep'07,2007,9,10.52,6.38,16.9
Dec'07,2007,12,10.67,6.45,17.12
Mar'08,2008,3,10.55,6.59,17.14
Jun'08,2008,6,10.38,6.79,17.17
Sep'08,2008,9,10.43,7.1,17.53
Dec'08,2008,12,10.26,7.3,17.56
Mar'09,2009,3,10.15,7.46,17.61
Jun'09,2009,6,9.94,7.85,17.79
Sep'09,2009,9,9.92,8.09,18.01
Dec'09,2009,12,9.89,8.18,18.07
Mar'10,2010,3,9.84,8.37,18.21
Jun'10,2010,6,9.73,8.59,18.32
Sep'10,2010,9,9.86,8.49,18.35
Dec'10,2010,12,9.9,8.61,18.51
Mar'11,2011,3,9.97,8.63,18.6
Jun'11,2011,6,10.04,8.8,18.84
Sep'11,2011,9,10.27,8.83,19.1
Dec'11,2011,12,10.41,8.93,19.34
Mar'12,2012,3,10.44,9.05,19.49
Jun'12,2012,6,10.38,9.22,19.6
Sep'12,2012,9,10.45,9.25,19.69
Dec'12,2012,12,10.62,9.34,19.97
Mar'13,2013,3,10.55,9.53,20.08
Jun'13,2013,6,10.52,9.69,20.21
Sep'13,2013,9,10.53,9.76,20.29
Dec'13,2013,12,10.71,9.93,20.64
Mar'14,2014,3,12.11,9.6,21.71
Jun'14,2014,6,12.17,9.95,22.12
Sep'14,2014,9,12.45,10.05,22.5
Dec'14,2014,12,12.58,10.26,22.84
Mar'15,2015,3,12.7,10.41,23.11
Jun'15,2015,6,12.84,10.53,23.37
Sep'15,2015,9,13.53,9.91,23.45
Dec'15,2015,12,13.87,9.87,23.74
Mar'16,2016,3,14.33,9.55,23.88
Jun'16,2016,6,14.41,9.67,24.08
Sep'16,2016,9,14.4,9.85,24.25
Dec'16,2016,12,14.55,9.76,24.31
Mar'17,2017,3,14.99,9.69,24.68
Jun'17,2017,6,15.1,9.69,24.78
Sep'17,2017,9,15.21,9.87,25.08
Dec'17,2017,12,15.62,9.7,25.31
Mar'18,2018,3,15.77,9.69,25.46
Jun'18,2018,6,15.02,9.57,24.59
Sep'18,2018,9,15.07,8.98,24.05
Dec'18,2018,12,15.69,10.16,25.85
Mar'19,2019,3,15.55,10.15,25.7
Jun'19,2019,6,14.87,10.23,25.1
Sep'19,2019,9,14.35,10.8,25.14
Dec'19,2019,12,14.49,10.71,25.2
Mar'20,2020,3,17.52,10.47,27.99
Jun'20,2020,6,16.96,10.0,26.96
Sep'20,2020,9,17.02,10.64,27.66
Dec'20,2020,12,16.8,10.61,27.41
Mar'21,2021,3,17.01,10.52,27.53
Jun'21,2021,6,16.14,10.07,26.22
Sep'21,2021,9,16.25,10.17,26.42
Dec'21,2021,12,16.5,9.88,26.38
Mar'22,2022,3,16.44,10.04,26.48
Jun'22,2022,6,16.63,9.88,26.52
Sep'22,2022,9,16.88,9.76,26.65
Dec'22,2022,12,17.19,9.71,26.9
Mar'23,2023,3,17.25,9.82,27.07
Jun'23,2023,6,17.03,10.02,27.05
Sep'23,2023,9,17.47,9.94,27.41
Dec'23,2023,12,17.56,9.9,27.46
Mar'24,2024,3,17.83,10.09,27.92
Jun'24,2024,6,17.89,10.25,28.15
Sep'24,2024,9,18.13,10.19,28.32
Dec'24,2024,12,18.39,10.22,28.61
